date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:31:15	50/50	---MCZ	200	added ('OK')	text/plain	date:Tue,%2025%20Dec%202018%2005:18:02%20GMT	http://gull-laravel.ui-lib.com/robots.txt		(from )
08:31:16	59625/59625	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Jan%202019%2001:31:17%20GMT	http://gull-laravel.ui-lib.com/	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/index.html	(from )
08:31:18	2937/2937	---MCZ	200	added ('OK')	text/css	date:Mon,%2003%20Dec%202018%2020:25:54%20GMT	http://gull-laravel.ui-lib.com/assets/styles/vendor/perfect-scrollbar.css	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/assets/styles/vendor/perfect-scrollbar.css	(from http://gull-laravel.ui-lib.com/)
08:31:19	304777/304777	---MCZ	200	added ('OK')	text/css	date:Sat,%2005%20Jan%202019%2007:45:42%20GMT	http://gull-laravel.ui-lib.com/assets/styles/css/themes/lite-purple.min.css	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/assets/styles/css/themes/lite-purple.min.css	(from http://gull-laravel.ui-lib.com/)
08:31:19	10357/10357	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Jan%202019%2001:31:19%20GMT	http://gull-laravel.ui-lib.com/accordion.html	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/accordion.html	(from http://gull-laravel.ui-lib.com/)
08:31:20	10357/10357	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Jan%202019%2001:31:20%20GMT	http://gull-laravel.ui-lib.com/alerts.html	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/alerts.html	(from http://gull-laravel.ui-lib.com/)
08:31:21	10357/10357	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Jan%202019%2001:31:21%20GMT	http://gull-laravel.ui-lib.com/buttons.html	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/buttons.html	(from http://gull-laravel.ui-lib.com/)
08:31:21	36871/36871	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Dec%202018%2020:25:54%20GMT	http://gull-laravel.ui-lib.com/assets/images/logo.png	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/assets/images/logo.png	(from http://gull-laravel.ui-lib.com/)
08:31:21	10357/10357	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Jan%202019%2001:31:22%20GMT	http://gull-laravel.ui-lib.com/badges.html	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/badges.html	(from http://gull-laravel.ui-lib.com/)
08:31:22	10357/10357	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Jan%202019%2001:31:22%20GMT	http://gull-laravel.ui-lib.com/carousel.html	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/carousel.html	(from http://gull-laravel.ui-lib.com/)
08:31:23	10357/10357	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Jan%202019%2001:31:23%20GMT	http://gull-laravel.ui-lib.com/lists.html	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/lists.html	(from http://gull-laravel.ui-lib.com/)
08:31:24	10357/10357	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Jan%202019%2001:31:24%20GMT	http://gull-laravel.ui-lib.com/popover.html	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/popover.html	(from http://gull-laravel.ui-lib.com/)
08:31:24	10357/10357	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Jan%202019%2001:31:25%20GMT	http://gull-laravel.ui-lib.com/tables.html	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/tables.html	(from http://gull-laravel.ui-lib.com/)
08:31:27	10357/10357	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Jan%202019%2001:31:25%20GMT	http://gull-laravel.ui-lib.com/datatables.html	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/datatables.html	(from http://gull-laravel.ui-lib.com/)
